,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
0,caadria2019_298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Karoji, Gen, Hotta, Kensuke, Hotta, Akito and Ikeda, Yasushi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Pedestrian Dynamic Behaviour Modeling - An application to commercial environment using RNN framework,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"M. Haeusler, M. A. Schnabel, T. Fukuda (eds.), Intelligent & Informed - Proceedings of the 24th CAADRIA Conference - Volume 1, Victoria University of Wellington, Wellington, New Zealand, 15-18 April 2019, pp. 281-290",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"The research of developing and improving pedestrian simulation model is essential in the process of analysing, evaluating and generating the architectural spaces that can not only satisfy circulation design condition but also promote sales by attracting customers. In terms of programming the simulation for commercial environment, current study attempts to use shortest-path algorithm generally and these results suggested that the model can reproduce approximate real trajectory within given environment. However, these studies also mentioned about necessity of considering shopper internal state and visual field. In this paper, in order to further incorporate the dynamic internal state (memory) into simulation model, we propose using iterative algorithm based on recurrent neural network (RNN) framework which allow it to exhibit temporal dynamic behaviour for a time sequence. Finally, we demonstrate the effectiveness of these algorithms we introduce and assess the combination of multiple algorithms and calibration of probability by comparing with trajectories of the experiment.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Pedestrian simulation; Algorithm; RNN; Commercial environment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,CAADRIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,genkaroji@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"file.pdf (10,206,762 bytes)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
